Date,From,Subject,Category,Action,SizeMB,Unsubscribe
2025-07-31T00:32:26+05:30,<notification@jio.com>,Current plan Rs 349_28D_2GB/D for Jio Number 6374039708 is about to expire,other,keep,0.0,
2025-07-30T12:51:34-07:00,"""The Educative Team"" <support@educative.io>",Two Windsurf AI courses have been added to the catalog,other,keep,0.03,
2025-07-30T12:59:41-07:00,"""Kaggle"" <no-reply@kaggle.com>",Announcing Writeups: Tell the full story behind your data science,newsletter,archive,0.02,<https://c.gle/ANiao5rtsHVbV6LwNIH26tQr5iWHJOCY8hWm-wCrSEZAUavvwfu-XwB5hZHSxtV21YTKLy8bwQQesC-s-ZxSMmDe0AOQSgHtE7D2e79ZCmrrxCNGQhB6ezqZHxJpcq3bHtQ2EmppDKFhH_E7ay5QROP9I9bjEoVATviZV2CXs3TYdOQRekV2_jso7ihIchd-i6d3BNShEm0kfYss7X-b-SULhjXZ>
2025-07-30T20:50:36-07:00,"""CNCF Events"" <no-reply@cncf.io>",⚠️  Almost Full: KubeCon + CloudNativeCon India Final Registration Reminder!,newsletter,archive,0.09,"<mailto:1axc46qi7fcydjzx5c6n0kdb7cexaxjmt6pt9m@8112310m.linuxfoundation.org?subject=unsubscribe>, <https://hs-8112310.s.hubspotemail.net/subscription-preferences/v2/unsubscribe-all?data=W2nXS-N30h-zPW3R1W722HsZDqW45BSs62576X8W1W_K_r41YvqHW3z7-QJ3VRK1ZW3z2YkJ1XxSqGW2B0dqV2TQ0w9W2TwbbB4fglHgW1QkrkN2-d0hGW1N3Z-V2sN4d5W23mn8R2TKsTGW3JW7vP3_Yl-QW4kNqcD2r89K1W309Lyv2YHrK6W2CvZLd4mCvk2W1L7VGY4fzw3PW2qWRBf3zjhTwW2FXgpc3SNBLfW3_Z50b2-s5spW2HtLNq47wPGHW3VWsMm233Z52W4ry6Fy1Sf-f3W3DTBBK4ry6h7W3Cgpq24ck2NqW36B9zt3ZxWXVW1Q6cc849CDp0W4hFTBJ2CJnL1W217t5D3LPd1gW2G0g-51QvzgJW3SBw-92Pn4vzW4pGZnb3b1hMQW3_ShZ41SBSBCW366HsZ3LXhnPW4md1DV3F4FhJW1_884h2KK2xjW3d8Vp34kvVsbW43JRVf1Xt8WPW2KqB023y__kmW4p5C2s2t7vyPW3CbCNF2MWJn8W3ZW1QH4m72bzW4pzbZR4fKsgkW20W6fH3DMGl9W3S-qqL1VrhJ_W252v002KBpKSW4mL8wC2Pk_HJW3g2y4b3VQqSHW45RkwX38bzK7W3NV01523nyhJW3dqGfc2r10VhW2CWcYY2WQh84W2KQ0J_4fJfvBf1_36lD04>"
2025-07-31T14:32:26+00:00,"""Clint Gibler"" <clint@tldrsec.com>","[tl;dr sec] #290 - Securing MCP, AppSec Archetypes, CISO's Guide to Protecting Crown Jewels",newsletter,archive,0.13,"<mailto:080a561f-2435-4477-a549-ab9f115e047c+c9d50fb8-cf39-4df4-887c-651cc604084a+35baf1fb-99f2-495c-99af-61037007c8fb@unsub.beehiiv.com>, <https://tldrsec.com/unsubscribe/eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWJzY3JpYmVyX2lkIjoiYzlkNTBmYjgtY2YzOS00ZGY0LTg4N2MtNjUxY2M2MDQwODRhIiwicG9zdF9pZCI6IjM1YmFmMWZiLTk5ZjItNDk1Yy05OWFmLTYxMDM3MDA3YzhmYiIsImxhc3RfcmVzb3VyY2VfZ3VpZCI6IlBvc3Q6MzViYWYxZmItOTlmMi00OTVjLTk5YWYtNjEwMzcwMDdjOGZiIn0.7Zjg2C5WtNvLIZLU9e5wv8Wnlf-SbxzAwNv4zsZ4Vsw>"
2025-07-31T21:01:58+05:30,<notification@jio.com>,Plan Rs 349_28D_2GB/D expired for Jio Number 6374039708,other,keep,0.0,
2025-07-31T15:39:03+00:00,"""roadmap.sh"" <roadmap@email.roadmap.sh>","AI Guides, Quizzes, Revamped Roadmaps & More",newsletter,archive,0.03,<https://subscriptions.pstmrk.it/unsubscribe?m=1.G4ycC2QC0zDmr4QXlfiosw.Z8UBXyhPYdGsKrCOH49FU8nMGnxFQetwAF3AHzOmjgFe6KKRuOIZ3dJzmYnwMH9QL1IxlMCCPxg2kDakUJ3vWBkEZV-8uSG2GJpyamUuhNtpulTmdxNBLcJ2Ou7kQqyC9O50HGD0T0yjsxPu5b_LXd1RZVGIzecAuqLIm_xTMzZcVG9UcQxUdvmheAAeAv_Xm_eQt47a0tO_OnsWSxMUhh46ExEldJtg1zByUqcHrVuxu67uYECvWLguoWdJskt1hZ7TqPTkgaU6tiu2hG0zBzNzBFM0uz5LCiMBhHASOrnLKc7ksAg_p8vR_aG2OD_vzViU06yLyy1Ys_br44SLlfrAifG1Jrzlb1GJRRM8G3-Qc1ITcU0dKIlrJaMkhoQmwFoiY4pr0os-Ftya3yg2OOF-l3s7CiO0lUsj7nSZeE64rzHA79-RA-TpVwCAs9-Nk0-2DXE6TE4pJJCQqPLHuqmiRDRbyG0B-gn8dY_mR0JZmKZ_KSzpJd0zAM8CQM0kWFu63ARs0TQzCzy4ZHGnJqFdByrKrqoXx_-Kk5wT4OtqALsV_RsALppkShuSdnSINXxw1cqovJFjmrHkX8QtHxq6PcPbhuf9aAbVI54CKlNn1EsC0LZXgQBUaDpL56kV8SzfDhlX_2C7zMlpoivH3DxwGfAq_aWaYBXFD3kYjzY>
2025-08-01T10:05:57-04:00,"""TED Community"" <no-reply@ted.com>",Discover new features with your TED account,newsletter,archive,0.06,"<https://link.ted.com/oc/62d19b641c794c328c7eaac0o9a1b.jkfk/900936a4>,<mailto:unsubscribe_20250801100557.40743695.912944@mx.sailthru.com>"
2025-08-02T00:58:51-07:00,"""Zach at Educative"" <zach.m@educative.io>","Learn, I extended your offer",newsletter,archive,0.03,"<mailto:1axdfq7f3ly0q1wve8q07rzovuxpkur51d7zwa@4740448m.educative.io?subject=unsubscribe>, <https://learn.educative.io/hs/subscription-preferences/v2/unsubscribe-all?data=W2nXS-N30h-RVW4prryG2KCH5YW4kCHlb2HShbqW2Wqndx1V8h6KW4rH-Ct1NgJvmW3DMkCK36d4F7W2TQWCb4fxYftW43FtHf3SQgTBW3LWmNX4hvd92W4fvTMB4mJ1qmW3b3fFS30lx3dW30BS2W1W-WtwW3_RxkV2p7zrtW2CHDtv1QytV0W1LBBMG1V75z-W3QRL0d2y1gF5W3zb2Hl21ks7QW4ckWrg3QZMDzW2RQgjs2THkfjW1Vs6Sn1N7bZqW43zk6f3VGXg4W4hrHSw45XjvNW2-rf0y3Hc2WKW2sVlC23-1z5qW2-cbLH3XwrXDW2MDcBG3DXrXxW32DKVv2Kr5sdW2TLHwJ3DVMQRW3dfsTt3LWrX6W3DTBBT4kMZPZW38cnlR3M8Y2GW3ST5F72xW8F5W2w34-Z4rHbQNW4kFh8w3S-kD2W4tBRsx1VbM6lW3C85SG1X8YcVW1QmzTc2KNKSDW1BFtgk2D0v74W1ZbQ0v2zQ0NMW4kr49J3SLS0fW4fhcb_2KFH4zW2vLFVW3Cb_HyW2y3jyS2CVThyW3z2XV42Hyrv6W4tBs9k3drTtnW3GYvhC4mH_RNW343XzX2YcnH9W2nYg5w1YX0LjW2qDsH62Ry1NNW1LnjXx2HTZ-HW2zXDx_4cqs3Xf4cR7hl04>"
2025-08-03T11:30:54+05:30,<Notification@Jio.com>,Recharge successful for Jio Number 6374039708,other,keep,0.01,
2025-08-04T17:35:00+05:30,"""redBus"" <greetings@travel.e-redbus.in>","Pooraja V, we’ve got your Friday plans sorted",newsletter,archive,0.02,"<https://unsub-cee.netcorecloud.net/vtrack?ul=VwpVB1wFBlVPBkVGRF8DUhYSDEJCBABLWF4GVHlUDFlZWBhQWVxJSUwF&ml=UAxUAl0HA1NPB0VK&sl=JkUpczBLZjFPZHRiSlUJXgsKTURGABNcVUhVSUtWBVpFRxhaWE0F&clientid=69014&c=000>, <mailto:uns-traveleredbus-69014-45228001-33379257-i-0d1349adf18e6ef3e5f7622ad5e76335@travel.e-redbus.in?subject=Unsubscribe>"
2025-08-04T15:03:12+00:00,"""Steven"" <steven@mydfir.com>",Inside the MyDFIR SOC Community,newsletter,archive,0.01,<https://services.msgsndr.com/emails/builder/unsubscribe-view/5uhv1Sjm1qBn8mq5tI3L/CWe7QYaZIklSEDmHt8fQ?email=professorveera860@gmail.com&message_id=fxFitdCzjceVz28OLqZe&template_id=6884fdaaa1fc2f0ea403c5a8>
2025-08-04T12:35:50-07:00,"""Kaggle"" <no-reply@kaggle.com>",Introducing Kaggle Game Arena: Where AI Models Compete,newsletter,archive,0.03,<https://c.gle/ANiao5olQKBhITHNUHV7nOQK2kOgPQfzybEY9kslA5tyNFxNGNSYaWPqC-FFTmzJmSI_U0vTZ5vUPevxVfZ73rHNfgmwgH11HzZrUthNHfG1yFQb9DoW7U5l987VRxLVpCtFOPtElf69Mc0XtZ05UJluhvheR3r3TyPUcPtKyU8qc1dtrUdyXPH0EW1mKjPugEk2L-TYmkfUqwW1xA6MJPLFJnIeTpJxIl4y8C4>
2025-08-04T20:50:02+00:00,"""Grammarly"" <hello@mail.grammarly.com>",Streamline how you work,newsletter,archive,0.08,"<https://links.iterable.com/s/u/F0ieeVI7EMDUL6W4T3VN6PhRSCY5UeD3-HRb9j8gD-IOv2Y8eb4vMWVq4uusSZ5wROMyhf-40yQX4cUX7iHLUnd7SCW9GDrOg_QTsHnkQi6R4sYgSidKfHATAeggACVSogQsNh44JPeHVyxcLhlknn0M7zGfLPINbEs4KD9gemg17v7BRdNPPtACFB159QtJOrrUDmsM5NExXnYF/ez7rrZ_Ht3ijTVLJ4AQtZnduFJPdM1Py/11>,<mailto:unsubscribe+14346228+18723464@unsubscribe.iterable.com>"
2025-08-05T12:18:34+00:00,"""TryHackMe"" <donotreply@tryhackme.com>",[25% Off] An entire year of learning for the cost of 6 months 💰,newsletter,archive,0.02,"<mailto:32.MRTVISZRKFKUYQKOKRCVSTSQIVMUCR2ZMVUXITCCOZSWG42WKRXU4YLXK5KWYVJ5@unsubscribe2.customer.io>, <https://e.customeriomail.com/unsubscribe/dgTK1QULANTEYNPEYAGYeitLBvecsVToNawWUlU=>"
2025-08-06T13:58:42-07:00,"""The Educative Team"" <support@educative.io>",A new System Design guide has been added to your library,other,keep,0.02,
2025-08-05T13:31:01+00:00,"""Daniel Miessler"" <newsletter@unsupervised-learning.com>",Welcome to the Unsupervised Learning Newsletter,newsletter,archive,0.06,"<mailto:6af6184f-358e-47dc-8501-ddfd3b0a8928+c7d5e688-be52-4581-9711-d4e6e571c2fa@unsub.beehiiv.com>, <https://newsletter.danielmiessler.com/unsubscribe/eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWJzY3JpYmVyX2lkIjoiYzdkNWU2ODgtYmU1Mi00NTgxLTk3MTEtZDRlNmU1NzFjMmZhIiwibGFzdF9yZXNvdXJjZV9ndWlkIjoiRW1haWxNZXNzYWdlOjcxZTEzYzQ5LTlhYzgtNDViMy05MDMyLWIyZDY4ODViMWY5YiJ9.IirWkU8x1hS2Gqpe1SyBJWl6XKRyROtinG-GFR9GqYw>"
2025-08-05T13:30:37+00:00,"""Clint at tl;dr sec"" <clint@tldrsec.com>",[tl;dr sec] Welcome! Security research coming your way 📫,newsletter,archive,0.05,"<mailto:080a561f-2435-4477-a549-ab9f115e047c+c7d5e688-be52-4581-9711-d4e6e571c2fa@unsub.beehiiv.com>, <https://tldrsec.com/unsubscribe/eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWJzY3JpYmVyX2lkIjoiYzdkNWU2ODgtYmU1Mi00NTgxLTk3MTEtZDRlNmU1NzFjMmZhIiwibGFzdF9yZXNvdXJjZV9ndWlkIjoiRW1haWxNZXNzYWdlOjQ2OWZhMDhlLTIxNmQtNDNjNC1hZTE2LThiMTJmYWEzODQ4MyJ9.j0CHp9Wpvuombedfxadm9vLT6ayRzQ_E0_Uq8CQ9kt8>"
2025-08-05T13:29:08+00:00,"""Clint at tl;dr sec"" <clint@tldrsec.com>",One last thing...,newsletter,archive,0.01,"<mailto:080a561f-2435-4477-a549-ab9f115e047c+c7d5e688-be52-4581-9711-d4e6e571c2fa@unsub.beehiiv.com>, <https://tldrsec.com/unsubscribe/eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWJzY3JpYmVyX2lkIjoiYzdkNWU2ODgtYmU1Mi00NTgxLTk3MTEtZDRlNmU1NzFjMmZhIn0.Eu0zJ4q6GSL6kvt6gb1fywQpOd2nfdWzEIsw9r4HPL8>"
2024-04-23T22:23:06-07:00,"""Instagram"" <no-reply@mail.instagram.com>",902765 is your Instagram code,other,keep,0.01,
2024-02-28T20:29:29+05:30,"""Renard Avinash"" <renardavinash@gmail.com>",Fwd: Resume-converted.pdf,personal,keep,0.15,
2023-05-28T04:06:27+00:00,"""HackThisSite"" <no-reply@hackthissite.org>",HackThisSite.org Registration,other,keep,0.0,
2025-08-16T17:28:09-07:00,"""Facebook"" <notification@priority.facebookmail.com>",You have 52 notifications about Sutharsan and others,newsletter,archive,0.03,<https://www.facebook.com/o.php?k=AS1IvCKk5AU7gZN4fzI&u=100043343738567&mid=63c8468a7a5acG5afd27f736c7G63c84b23da87eG32b&ee=Af-7I2zEseCcx4QBfvvD3HRKD_ABW1ehW5JgUYACKjUs99CF6PEANbcNVZTW6VKz9X8R7O81YFLJhO13Xro15xLGBzQO>
